latitude	longitude	population
-21.4751389	165.1998611	1.4481671
-21.4465278	165.24125	1.4481671
-21.4126389	165.2454167	1.4481671
-21.40875	165.2470833	1.4481671
-21.4765278	165.1640278	1.4481671
-21.44125	165.2101389	1.4481671
-21.4551389	165.2154167	1.4481671
-21.4051389	165.24875	1.4481671
-21.4473611	165.1470833	1.4481671
-21.4245833	165.1676389	1.4481671
-21.4243056	165.2604167	1.4481671
-21.2931944	165.1856944	1.4481671
-21.28875	165.2156944	1.4481671
-21.2395833	165.2004167	1.4481671
-21.2931944	165.1859722	1.4481671
-21.2601389	165.2556944	1.4481671
-21.2918056	165.1884722	1.4481671
-21.2595833	165.2031944	1.4481671
-21.2956944	165.2570833	1.4481671
-21.2951389	165.1954167	1.4481671
-21.2618056	165.2540278	1.4481671
-21.29125	165.18875	1.4481671
-21.2940278	165.18625	1.4481671
-21.2323611	165.1993056	1.4481671
-21.2570833	165.2604167	1.4481671
-21.2948611	165.18625	1.4481671
-21.3070833	165.1845833	1.4481671
-21.3190278	165.1573611	1.4481671
-21.2920833	165.1884722	1.4481671
-21.3173611	165.1631944	1.4481671
-21.2998611	165.1843056	1.4481671
-21.2590278	165.2023611	1.4481671
-21.2959722	165.1859722	1.4481671
-21.2340278	165.2031944	1.4481671
-21.2945833	165.1979167	1.4481671
-21.2306944	165.2006944	1.4481671
-21.2926389	165.1948611	1.4481671
-21.2920833	165.2123611	1.4481671
-21.2598611	165.2559722	1.4481671
-21.2981944	165.1981944	1.4481671
-21.2906944	165.1884722	1.4481671
-21.2923611	165.1851389	1.4481671
-21.2901389	165.1906944	1.4481671
-21.23375	165.1951389	1.4481671
-21.3045833	165.18625	1.4481671
-21.2973611	165.1870833	1.4481671
-21.2934722	165.1923611	1.4481671
-21.2945833	165.18625	1.4481671
-21.3073611	165.1843056	1.4481671
-21.29375	165.1940278	1.4481671
-21.2845833	165.2254167	1.4481671
-21.29875	165.1884722	1.4481671
-21.2926389	165.1956944	1.4481671
-21.2901389	165.1904167	1.4481671
-21.1990278	165.2481944	1.4481671
-21.3173611	165.1629167	1.4481671
-21.2951389	165.1865278	1.4481671
-21.2515278	165.2056944	1.4481671
-21.2626389	165.2204167	1.4481671
-21.32125	165.14375	1.4481671
-21.3268056	165.1518056	1.4481671
-21.3226389	165.1331944	1.4481671
-21.3465278	165.1598611	1.4481671
-21.3234722	165.1306944	1.4481671
-21.3218056	165.15625	1.4481671
-21.3234722	165.1598611	1.4481671
